คำเมือง, คำไทย
มะซมปู, ชมพู่
มะเกว๋น, ตะขบ
มะเต้า, แตงโม
มะแต๋งลาย, แตงไทย
มะก๊อ, ทับทิม
ทุ่เลียน, ทุเรียน
มะถั่วเลียน, ทุเรียน
มะหน้อแหน้, น้อยหน่า
มะแก๋ว, ฝรั่ง
มะก้วย, ฝรั่ง
มะหมั้น, ฝรั่ง
มะตัน, พุทรา
มะกอก, มะกอก
มะขาม, มะขาม
มะขามข้อง, มะขามเทศ
มะขามป้อม, มะขามป้อม
มะดัน, มะดัน
มะเดื่อ, มะเดื่อ
มะปิน, มะตูม
มะผาง, มะปราง
มะป๊าว, มะพร้าว
มะป๊าวหนุ่ม, มะพร้าวอ่อน
มะไฟ, มะไฟ
มะม่วง, มะม่วง
มะญม, มะยม
มะก้วยเต้ด, มะละกอ
มังคุ่ด, มังคุด
ลองกอง, ลองกอง
มะมุ่ด, ละมุด
ลางสาด, ลางสาด
ลำไญ, ลำไย
มะลำไญ, ลำไย
ลิ้นจี่, ลิ้นจี่
มะคอแลน, ลิ้นจี่ป้า
มะกั๋บตอง, ถูกพลับ
มะน่ะ, สมอ
ส้มเกี้ยง, ส้มเกลี้ยง
ส้มเขียวหวาน, ส้มเขียวหวาน
มะโอ, ส้มโอ
มะขะหนั๋ด, สับปะรด
ดอกเอื้อง, กล้วยไม้
ดอกอาว, ดอกกระเจียว
ดอกสะบันงา, ดอกกระดังงา
ดอกคำใต้, ดอกกระถินเทศ
ดอกกุหลาบ, ดอกกุหลาบ
ดอกแก้ว, ดอกแก้ว
ดอกสลิ๋ด, ดอกขจร
ดอกเข็ม, ดอกเข็ม
ดอกเก๋ดเก๊า, ดอกคัคเค้า
ดอกลมแล้ง, ดอกคูน
ดอกจ๋ำป๋า, ดอกจำปา
ดอกจุ๋มป๋า, ดอกจำปา
ดอกจํ๋าปี๋, ดอกจำปี
ดอกจุ๋มปี๋, ดอกจำปี
ดอกใหม่, ดอกชบา
ดอกหอมไก๋, ดอกซ่อนกลิ่น
ดอกคำปู้จู้, ดอกดาวเรือง
ดอกกว๋าว, ดอกทองกวาว
ดอกบัวผั๋ด, ดอกทานตะวัน
ดอกบัวตอง, ดอกทานตะวันป่า
ดอกเตียน, ดอกเทียน
ดอกบัว, ดอกบัว
ดอกป๊าน, ดอกบัวเผื่อน
ดอกบานจื้น, ดอกบานชื่น
ดอกตะหล้อม, ดอกบานไม่รู้โรย
ดอกจํ๋าญาม, ดอกบานเย็น
ดอกกำก่อ, ดอกบุนนาค
ดอกก๋าสะลอง, ดอกปีบ
ดอกเคือออน, ดอกพวงประดิษฐ์
ดอกแก้ว, ดอกพิกุล
ดอกปุ้ต, ดอกพุด
ดอกเก๋ดถะหวา, ดอกพุดซ้อน
ดอกสามสี, ดอกพุดตาล
ดอกบัวละวง, ดอกพุทธรักษา
ดอกใหม่ส้อย, ดอกพู่ระหง
ดอกเฟื่องฟ้า, ดอกเฟื่องฟ้า
ดอกต๋าเหิน, ดอกมหาหงส์
ดอกมะลิ่, ดอกมะลิ
ดอกแซ่ว, ดอกมะลิวัลย์
ตอกจี๋หุ๋บ, ดอกยี่ทุบ
ดอกป๋านเถื่อน, ดอกรัก
ดอกจํ๋าป๋าลาว, ดอกลั่นทม
ดอกเกี๋ยง, ดอกลำเจียก
ดอกหอมนวน, ดอกลำดวน
ดอกส้ทสุ๋ก, ดอกโศก
ดอกสาละปี, ดอกสารภี
ดอกด้าย, ดอกหงอนไก่
ฮากก้วย, กระสัง
สำสา, ก้ามปู
ข่อย, ข่อย
ขี้เหล๋ก, ขี้เหล็ก
ห้อม, คราม
งิ้ว, งิ้ว
เสี้ยว, ชงโค
หญ้าเข้ากํ่า, ดอกดิน
เดือย, เดือย
ผั๋กดีด, ต้อยติ่ง
เก๊าสะหลี, ต้นโพธิ์
ต้นเข้า, ต้นข้าว
ต๋าน, ตาล
เตย, เตย
หานไก่, ตำแย
ไม้แง่ะ, เต็ง
ไฮ, ไทร
งิ้ว, นุ่น
ไม้ตึง, พลวง
ลีลัว, พลับพลึง
ขะญอม, พะยอม
ปูเลย, ไพล
เคือเขาคำ, ฝอยทอง
เฟือง, ฟาง
จุ้งจาลิง, บอระเพ็ด
มะกํ่าต๋าไก่, มะกลํ่าตาหนู
มะซั่ก, ประคำดีควาย
หญ้าจิ๋ญอบ, ไมยราบ
ไม้ฮวก, ไม้รวก
ไม้ไฮ่, ไม้ไร่
ผั๋กเฮือด, ไม้เลียบ
ไม้เปา, รัง
มะหุ่ง, ละหุ่ง
ลาน, ลาน
มะข่าง, สลอด
หญ้าแมงวาย, สาบเสือ
สีเสียด, สีเสียด
หญ้า, หญ้า
หญ้าก่อน, หญ้าเจ้าชู้
หนาด, หนาด
มะเหนียง, หมามุ่ย
หมาก, หมาก
หมากปู๊, หมากผู้
ซอมพอ, หางนกยูง
ป๋าก๋ด, ปลากด
ป๋าไม, ปลากระเบน
ป๋าสะลาก, ปลากระดี่
ป๋าต๋อง, ปลากราย
ป้าก๋า, ปลากา
ป๋าเข็ม, ปลาเข็ม
ป๋าแก้ด, ปลาแขยง
ป๋าหลิม, ปลาช่อน
ป๋าก่อ, ปลาชะโด
ป๋าดุ๋ก, ปลาดุก
ป๋าขาว, ปลาตะเพียน
ป๋าเต้าะ, ปลาเทโพ
ป๋าทู, ปลาทู
ป๋านิล, ปลานิล
ป๋าหวาน, ปลาเนื้ออ่อน
ป๋าบึ๋ก, ปลาบึก
ป๋าสะลิ๋ด, ปลาสลิด
ป๋าบอก, ปลาสร้อย
ป๋าสวาย, ปลาสวาย
ป๋าสะเต๋ด, ปลาหมอ
ป๋าหมึ๋ก, ปลาหมึก
ป๋าหมู, ปลาหมู
ป๋าล๋ด, ปลาหลด
ป๋าเหยี่ยน, ปลาไหล
บ้วน, ตัวนาก
ไก่, ไก่
ไก่แจ้, ไก่แจ้
ไก่จน, ไก่ชน
ไก่ตั้ง, ไก่ต่อ
ไก่จง, ไก่อู
ฮุ้งคาว, ค้างคาว
น่กจาบ, นกกระจาบ
น่กจิ๋บ, นกกระจิบ
น่กกะทา, นกกระทา
น่กปะตา, นกกระทา
น่กตุ่งตุง, นกกระทุง
น่กก้นปู้ด, นกกะปูด
น่กเขียน, นกกระเรียน
น่กคองู, นกกระสา
น่กกวั๋ก, นกกวัก
น่กกะเต็น, นกกระเต็น
น่กจี๋แจ้บ, นกกางเขน
น่กก๋าเหว่า, นกกาเหว่า
น่กป้อเฮย, นกกาเหว่า
น่กกิ๋นปี๋, นกกินปลี
น่กแล, นกแก้ว
น่กเข้าหมิ้น, นกขมิ้น
น่กเอี้ยงคำ, นกขุนทอง
น่กเขา, นกเขา
น่กขวาก, นกแขวก
น่กเก๊า, นกเค้าแมว
น่กก๋ก, นกเงือก
น่กปู่ติ้ด, นกถึดทือ
น่กแอ่น, นกนางแอ่น
น่กปิ๋ดจะลิว, นกปรอด
น่กก๋าแก๋, นกพิราบ
น่กป๋ก, นกโพระดก
น่กญาง, นกยาง
น่กยูง, นกยูง
น่กเก๊าจ๊าง, นกแสก
เพี้ย, เพลี้ย
ม่ดแดงไฟ, มดคันไฟ
ม่ดง่าม, มดง่าม
ม่ดส้ม, มดแดง
มวนลำไญ, มวนลำไย
มอด, มอด
มิ้น, มิ้ม
แมงจอน, แมงกะชอน
แมงคา, แมงคาเรือง
แมงป่อง, แมงป่อง
แมงเวา, แมงป่องช้าง
แมงก๋ำปุ๊ง, แมงมุม
แมงขี้ต๋ค, แมลงตด
ก๋ำบี้, แมลงปอ
แมงตั้บ, แมลงทับ
แมงวัน, แมลงวัน
แมงงุน, แมลงวัน
แมงปู้, แมลงภู่
แมงสาบ, แมลงสาบ
แมงหวี่, แมลงหวี่
ฌุง, ยุง
เฮือด, เรือด
ฮิ้น, ริ้น
ไฮ, ไร
แมงว้าง, ลองไน
แมงง้องแง้ง, ลูกนํ้า
หนอนน้ำ, ลูกนํ้า
ขี้เดือน, ไส้เดือน
หนอน, หนอน
แมงบ้ง, หนอนผีเสื้อ
เหนี่ยง, เหนี่ยง
แมงใบ้, หมาร่า
หมั๋ด, หมัด
หิ่งห้อย, หิ่งห้อย
เห๋บ, เห็บ
เหา, เหา
ไก้, กระจง
กะต่าย, กระต่าย
ไหน่, กระจ้อน
จ่อน, กระจ้อน
กะติง, กระทิง
ฮอก, กระรอก
อี่ฮอก, กระรอก
กว๋าง, กวาง
ฟาน, เก้ง
ควาย, ควาย
ก้าง, ค่าง
อี่ฮุย, ชะนี
เห็นอ้ม, ชะมด
จ๊าง, ช้าง
ตุ่น, ตุ่น
ปังปอน, พังพอน
จ่อนขุ่ย, พังพอน
แมว, แมว
ละโว้, ละมั่ง
วอก, ลิง
แฮด, แรด
เสือ, เสือ
หนู, หนู
หมา, หมา
หมี, หมี
หมู, หมู
หมูป่า, หมูป่า
อ้น, อ้น
ก๋บ, กบ
จั๋กก่า, กิ้งก่า
เขียด, เขียด
คางคาก, คางคก
งูเขียว, งูเขียว
งูจ๋งละอาง, งูจงอาง
งูไซ, งูไซ
งูสิง, งูสิง
งูเห่า, งูเห่า
จั๋กเข้, จระเข้
จิ๋กจิ้ม, จิ้งจก
จั๋กกะเล้อ, จิ้งเหลน
แลน, ตะกวด
จิ๋กขาบ, ตะขาบ
จิ๋กเค๋บ, ตะเข็บ
ต๋กโต, ตุ๊กแก
แญ้, แย้
ต๋าเป๋นต๋อน, กุ้งยิง
ขี้แมงวัน, ขี้แมลงวัน
ขี้แมงงุน, ขี้แมลงวัน
ขี้เฮื้อน, ขี้เรื้อน
คอเอิม, คอพอก
คอเหนียง, คอพอก
คัน, คัน
ฮ่าวอก, คางทูม
เป๋นผะญาด, เจ็บไข้ได้ป่วย
บ่สบาย, เจ็บไข้ได้ป่วย
ต้อ, ต้อ
ต๋าเข, ตาเข
ต๋าเหล้อ, ตาเข
ต๋าล่อน, ตาส่อน
ต๋าเหล้, ตาเหล่
ซาง, ตานขโมย
ตุ่ม, ตุ่ม
หลุ๋ต๊อง, ท้องเดิน
หลุ๋ต๊อง, ท้องเสีย
ต๊องอืด, ท้องอืด
บ้า, บ้า
เจ๋บขา, ปวดขา
เจ๋บแขน, ปวดแขน
เจ๋บต๋า, ปวดตา
เจ๋บต๊อง, ปวดท้อง
เจ๋บเขี้ยว, ปวดฟัน
เจ๋บหลัง, ปวดหลัง
เจ๋บหัว, ปวดหัว
เจ๋บแอว, ปวดเอว
เป๋นไข้, เป็นไข้
เมื่อย, เป็นไข้
เป๋นลม, เป็นลม
ขาง, แผลในปาก
ปากเป๋นขาง, แผลในปาก
ฝี, ฝี
ตัวตึก, พยาธิ
ว้อ, พิษสุนัขบ้า
เป๋นว้อ, พิษสุนัขบ้า
แป๊ยา, แพ้ยา
แป๊อากาศ, แพ้อากาศ
กิ๋นผิ๋ด, แพ้อาหาร
เขี้ยวเว่า, ฟันหลอ
มะเฮ็ง, มะเร็ง
มะโหกก้นปู้ด, ริดสีดวงทวาร
ขี้ตู้ด, เรื้อน
มะโหก, โรคกระษัย
ลมจั้ก, ลมบ้าหมู
หมึน, ลมพิษ
ฝีในต๊อง, วัณโรค
วัณโลค, วัณโรค
เมาหัว, เวียนหัว
หอบ, หอบ
ออกหั๋ด, ออกหัด
ตุ่มใส, อีสุกอีใส
ก๋ง, กง
ก๋ำ, กำ
ล้อ, เกวียน
ล้องัว, เกวียน
กานหาม, คานหาม
สี้, ซี่
โส้, โซ่
ดุม, ดุม
แก, แตร
พวงมาลัย, พวงมาลัย
แป, แพ
เพา, เพลา
ล้อ, ยางรถ
ล่ดเก๋ง, รถเก๋ง
ล่ดถีบ, รถจักรยาน
ล่ดเคื่อง, รถมอเตอร์ไซค์
ล่ดหวอ, รถดับเพลิง
ล่ดตู้, รถตู้
ล่ดบันทุ่ก, รถบรรทุก
ล่ดไฟ, รถไฟ
ล่ดม้า, รถม้า
ล่ดยนต์, รถยนต์
ล่ดสี่ล้อ, รถสองแถว
ล่ดสามล้อ, รถสามล้อ
สามล้อถีบ, รถสามล้อ
เฮือ, เรือ
เฮือสะเปา, เรือสำเภา
เสลี่ยง, เสลี่ยง
สวย, กรวย
เข้าวสา, เข้าพรรษา
กำปี, คัมภีร์
คัวตาน, เครื่องไทยทาน
โกมลอย, โคมลอย
งานปอย, งานฉลอง
ตุ้หลวง, เจ้าอาวาส
บอกไฟ, ดอกไม้ไฟ
เต้ด, เทศน์
เตียน, เทียน
จ้อ, ธงสามเหลี่ยม
ตุง, ธงล้านนา
ธูป, ธูป
น้ำมนต์, น้ำมนต์
น้ำหยาด, นํ้าที่ใช้กรวดนํ้า
บวชลูกแก้ว, บวชเณร
บวชเป้ก, บวชพระ
บวชพ่ะ, บวชพระ
ปะตู๋ป่า, ประตูป่า
ตู้เจ้า, พระสงฆ์
คูบา, พระผู้ใหญ่
ป้อเกิดแม่เกิด, พ่อซื้อแม่ซื้อ
เด็ง, ระฆัง
ละฆัง, ระฆัง
ญี่เป็ง, ลอยกระทง
วันเดือนเป็ง, วันขึ้น 15 คํ่า
วันพะญาวัน, วันเถลิงศก
วันพ่ะ, วันพระ
วันศีล, วันพระ
วันสังขารล่อง, วันมหาสงกรานต์
วันเดือนดั๋บ, วันแรม 15 คํ่า
วันดา, วันสุกดิบ
ก๋วยสลาก, สลากภัตร
ปี๋ใหม่, สงกรานต์
จ้องหลวง, สัปทน
ออกวสา, ออกพรรษา
ก๋อง, กลอง
ก๋องปู่จา, กลองเพล
ก๋องแอว, กลองยาว
ขุ่ย, ขลุ่ย
ขายคัว, ขายของ
ก๊อง, ฆ้อง
สว่า, ฉาบ
สิ่ง, ฉิ่ง
ลั่บลี้, ซ่อนหา
บ้าต๋าแสง, ตั้งเต
มะถ๋บ, ประทัด
ปี่, ปี่
แน, แตร
แกวง, แตรวง
ซอ, เพลงพื้นบ้าน
ละนาด, ระนาด
ฟ้อน, รำ
มะข่าง, ลูกข่าง
สิ๋กจุ้งจา, เล่นชิงช้า
ว่าว, ว่าว
ก๋ง, หนังสติ๊ก
ป้อแคว่น, กำนัน
ข้าลาดสะก๋าน, ข้าราชการ
จ้างซอ, คนขับเพลงพื้นบ้าน
คนใจ๊, คนใช้
จ้างฟ้อน, คนฟ้อนรำ
คู, ครู
ป้อเลี้ยง, คหบดีชาย
แม่เลี้ยง, คหบดีหญิง
สล่า, ช่าง
จ้าง, ช่าง
จ้างคอผ้า, ช่างทอผ้า
จ้างไม้, ช่างไม้
ต๋ำหลวด, ตำรวจ
ตะหาร, ทหาร
นั่กล้อง, นักร้อง
นายอำเภอ, นายอำเภอ
ปะลั๋ด, ปลัด
ป้อฮ้าง, ผู้ชายที่หย่ากับภรรยา
อาจ๋าน, ผู้ทำพิธีทางศาสนา
แม่ฮ้าง, ผู้หญิงที่หย่ากับสามี
ป้อหลวง, ผู้ใหญ่บ้าน
พยาบาล, พยาบาล
ป้อก๊า, พ่อค้า
ป้อหม้าย, พ่อหม้าย
แม่ก๊า, แม่ค้า
แม่หม้าย, แม่หม้าย
ลูกจ้าง, ลูกจ้าง
สั๋บปะเหล่อ, สัปเหร่อ
หมอ, หมอ
หมอเมื่อ, หมอดู
หมอนวด, หมอนวด
หมอผี, หมอผี
อาจ๋าน, อาจารย์
ป้อออก, อุบาสก
แม่ออก, อุบาสิกา
บอก, กระบอก
กีบ, กลีบ
หลีบ, กลีบ
ก๋อ, กอ
ปุ้น, กอง
ก๋ำ, กำ
ขั้น, ขั้น
ข้าง, ข้าง
ขอน, ข้าง
เบื้อง, ข้าง
คน, คน
เตื้อ, ครั้ง
เตื้อ, เที่ยว
กัน, คัน
กำ, คำ
คืบ, คืบ
กู้, คู่
เคือ, เครือ
จ้อ, ช่อ
ติ่น, ชิ้นเล็กๆ
จั๊น, ชั้น
ซอง, ซอง
สี้, ซี่
โขบ, ซีก
ดวง, ดวง
ต๋น, ตน
ต้น, ต้น
เก๊า, ต้น
ไพ, ตับ
ตั๋ว, ตัว
ถุง, ถุง
ถง, ถุง
แถว, แถว
ต้อน, ท่อน
ลิ่ตร, ทะนาน
แคง, ทะนาน
ปี๋, ทะลาย
ปั้น, แปลง
ผืน, ผืน
แผ่น, แผ่น
ฝั๋ก, ฝัก
ปุ้ก, พวง
หมู่, พวก
แหลบ, พับ
เบ้า, มวน
มั่ด, มัด
มื้อ, มื้อ
ญวง, ยวง
ต๋น, รูป
แก่น, ลูก
หน่วย, ลูก
แก่น, ใบ
หน่วย, ใบ
แก่น, ฟอง
หน่วย, ฟอง
แก่น, เม็ด
หน่วย, เม็ด
เถี่ยน, เล่ม
เหล้ม, เล่ม
วง, วง
บ้วง, วง
วา, วา
แหว้น, แว่น
สาย, สาย
เส้น, เส้น
หลอด, หลอด
หลัง, หลัง
ห่อ, ห่อ
หาบ, หาบ
อย่าง, อย่าง
อัน, อัน
ก๋วน, กวน
ดังไฟ, ก่อไฟ
แก๋ะ, แกะ
แก๋ง, แกง
ขอด, ขอด
เถ๋าะ, ขอด
ฟั้น, ขยำ
ขูด, ขูด
ต๋ำ, โขลก
กน, คน
คุ่ก, คลุก
สุ๋บ, คลุก
กั๊น, คั้น
ขั้ว, คั่ว
จี่, จี่
จุ่ม, จุ่ม
เจี๋ยว, เจียว
เบ๋าะ, เฉาะ
คัว, ชำแหละ
แจ้, แช่
ซอย, ซอย
หวดเข้า, ซาวข้าว
ดอง, ดอง
เด๋ด, เด็ด
ไซ้, เด็ด
ตั๋ก, ตัก
ต้ม, ต้ม
ต๋ำ, ตำ
เตื่อม, เติม
ทอด, ทอด
ญ่ะกิ๋น, ทำอาหาร
ตุ้บ, ทุบ
เท, เท
ถอก, เท
นวด, นวด
หนึ้ง, นึ่ง
บ๋ด, บด
บั้ง, บั้ง
บีบ, บีบ
ปอก, ปอก
ปั่น, ปั่น
ปั้น, ปั้น
ปาด, ปาด
ปิ้ง, ปิ้ง
ผั๋ด, ผัด
โบ๋ะ, ผ่า
ผิง, ผิง
เผา, เผา
ฟั๋ด, ฝัด
ปิ้น, พลิก
มวน, มวน
ม้วน, ม้วน
มั่ด, มัด
โหม้, โม่
ญ่ก, ยก
ป๋ด, ยก
ญั่ด, ยัด
หย้าง, ย่าง
ญำ, ยำ
ส้า, ยำ
ญี, ยี
ฮ่อน, ร่อน
ฮูด, รูด
ลวก, ลวก
ลอก, ลอก
เล่าะ, เลาะ
แล่, แล่
สะเด๋ด, สะเด็ด
สุ๋ก, สุก
ลาบ, สับ
ฟั่ก, สับ
เสียบ, เสียบ
ห่อ, ห่อ
ก๋ก, หั่น
หุง, ทุง
หม๋ก, หมก
หมั๋ก, หมัก
หลาม, หลาม
อ๋บ, อบ
ลืน, กลืน
ข๋บ, กัด
กิ๋น, กิน
เกี๊ยว, เคี้ยว
งั่บ, งับ
จิ๋บ, จิบ
จิ้ม, จิ้ม
ฉัน, ฉัน
สัน, ฉัน
จิม, ชิม
หีบ, ซด
กิ๋น, ดื่ม
ดูด, ดูด
เคา, แทะ
แหง้น, แทะ
บ้วน, บ้วน
ป้อน, ป้อน
มอม, มอม
กิ๋น, รับประทาน
เลีย, เลีย
อม, อม
เก้าผม, เกล้าผม
โก๋นผม, โกนผม
เขียนกิ้ว, เขียนคิ้ว
เคียน, คาด
ฮั่ด, คาด
ดั๋ดผม, ดัดผม
ตั๋ดผม, ตัดผม
ตา, ทา
แป๋งผม, ทำผม
นุ่ง, นุ่ง
แปงผม, แปรงผม
ตาแป้ง, ผัดหน้า
ตาแป้ง, ทาแป้ง
ม้วนผม, ม้วนผม
ญ้อมผม, ย้อมผม
ญีผม, ยีผม
ไว้ผม, ไว้ผม
แญงแว่น, ส่องกระจก
ดำหัว, สระผม
ส๋ะผม, สระผม
ใส่, สวม
สุ๋บ, สวม
สางผม, สางผม
ห่ม, ห่ม
หวีผม, หวีผม
ขน, กรน
ซุ่บซาบ, กระซิบ
เอ๋ก, กรีดร้อง
หุย, กรีดร้อง
กู่, กู่
จุ๋, โกหก
ล่าย, โกหก
ขัน, ขัน
คาง, คราง
อู้, คุย
อู้, พูดคุย
ฮ้อง, คู
ขัน, คู
ญ่อย, จู้จี้
ปากญ่อย, จู้จี้
ญ่อย, ขี้บ่น
ปากญ่อย, ขี้บ่น
ด่า, ด่า
ตอบ, ตอบ
เอิ้น, ตะโกน
เอ๋ก, ตะคอก
ปากกั้ง, ติดอ่าง
ถาม, ถาม
เถียง, เถียง
ผิ๋ด, ทะเลาะ
ผิ๋ดกั๋น, ทะเลาะ
เล่าขวัญ, นินทา
จ่ม, บ่น
แซ่ม, บ่น
บอก, บอก
ป่าว, ประกาศ
ผิวปาก, ผิวปาก
อู้, พูด
ปาก, พูด
อู้, พูดจา
ปาก, พูดจา
เพ้อ, เพ้อ
ฮ้อง, ร้อง
เอก, ร้อง
ฮ้อง, ร้องเรียก
เอิ้น, ร้องเรียก
ปากปิ้ด, วาจาสิทธิ์
เล่า, เล่า
เสก, เสก
หอน, หอน
เห่า, เห่า
เหิด, หัวเราะเสียงดัง
โห่, โห่
กั๋ว, กลัว
ก้า, กล้า
โขด, โกรธ
เกี้ยด, โกรธ
ขี้จ้ะ, ขยะแขยง
กึ้ดเติงหา, คิดถึง
ง่อมหา, คิดถึง
แค้น, แค้น
เจ๋บใจ๋, เจ็บใจ
ซอบ, ชอบ
มั่ก, ชอบ
จัง, ชัง
ซึม, ซึม
ดีใจ๋, ดีใจ
ดูแควน, ดูถูก
ต๋กใจ๋, ตกใจ
กั้ดอ๋ก, ตื้นตัน
กั้ดอ๋กกั้ดใจ๋, ตื้นตัน
ตุ้กใจ๋, ทุกข์ใจ
น้อยใจ๋, น้อยใจ
ก้าย, เบื่อ
เบื่อ, เบื่อ
เป๋ยห่วง, เป็นห่วง
บ่สบายใจ๋, ไม่สบายใจ
บ่ม่วนใจ๋, ไม่สบายใจ
เกี้ยด, โมโห
ไห้, ร้องไห้
ฮ้อนใจ๋, ร้อนใจ
เสี้ยงใจ๋, ระอาใจ
ฮั่ก, รัก
ลำคาญ, รำคาญ
กึ้ดญาก, ลำบากใจ
ใจ๋บ่ดี, วิตก
ใจ๋บ่ดี, กังวล
ง่อม, ว้าเหว่
เส้า, เศร้า
ม่วนใจ๋, สบายใจ
สบายใจ๋, สบายใจ
เสียใจ๋, เสียใจ
เสียดาย, เสียดาย
กิ๋นแหนง, เสียดาย
กึ้ดญาก, หนักใจ
หนั๋กใจ๋, หนักใจ
หน่าย, หน่าย
หลง, หลง
เมา, หลง
ขาง, หวง
ขาง, หึง
หึง, หึง
ง่อม, เหงา
ง่อม, ว้าเหว่
อยาก, อยาก
ไค่ได้, อยาก
ขอย, อิจฉา
อึ๋ดอั๋ด, อึดอัด
บ่ม่วนใจ๋, อึดอัด
กะตุ๋ก, กระตุก
เก็ง, เกร็ง
ขาห้าน, ขากะเผลก
เขม่น, เขม่น
ญังแควน, ค่อยยังชั่ว
เกิดลูก, คลอดลูก
ออกลูก, คลอดลูก
ไค่หลับ, ง่วงนอน
ใจ๋สั่น, ใจสั่น
ใจ๋บดี, ใจสั่น
กั้ดต๊อง, จุก
จุ๋ก, จุก
หมึน, ชา
จั้ก, ชัก
ต๋าลาย, ตาลาย
ถ่ายยา, ถ่ายยา
กั้ดต๊อง, แน่นท้อง
แหน้นต๊อง, แน่นท้อง
อหน้นหน้าอ๋ก, แน่นหน้าอก
โน, โน
เจ็บ, ปวด
กิ้ว, ปวดมวน
ปูด, ปูด
เป๋นลม, เป็นลม
เพ้อ, เพ้อ
ฟ้น, ฟื้น
มาน, มีท้อง
มานลูก, ตั้งครรภ์
ฮู้คิง, รู้สึกตัว
ฮู้สึ๋กตั๋ว, รู้สึกตัว
ละบม, ระบม
ลาม, ลาม
เอ๋อะ, เรอ
กั้ง, ละเมอ
เมาหัว, เวียนหัว
สล๋บ, สลบ
สั่น, สั่น
สะอึ๋ก, สะอึก
สะมั่ก, สำลัก
ส่าง, สร่าง
สว่าง, สร่าง
แสบ, แสบ
เสียดาย, เสียด
หน้ามืด, หน้ามืด
หอบ, หอบ
หายใจ๋, หายใจ
หาว, หาว
อยาก, หิว
อิ๋ด, เหนื่อย
อิ๋ดอ่อน, เหนื่อยอ่อน
บ่ฮู้คิง, หมดสติ
อยู่เดือน, อยู่ไฟ
กวาด, กวาด
เก๋บ, เก็บ
ล้อน, เก็บ
ขยี้, ขยี้
สูสี, ขยี้
ขั๋ด, ขัด
แขวน, แขวน
คุม, คลุม
จั๋ด, จัด
เจ้ด, เช็ด
ซั่ก, ซัก
ตาก, ตาก
ถู, ถู
ถอก, เท
เท, เท
ขว้าง, ทิ้ง
ปั๋ด, ปัด
ยัง, ผึ่ง
ฟอก, ฟอก
ญ่ก, ยก
ลีด, รีด
ลื้อ, รื้อ
คุย, รื้อ
เลียง, เรียง
ยาย, เรียง
ล้าง, ล้าง
ซ่วย, ล้าง
ห้อย, ห้อย
กอ, กรอ
เคี่ยน, กลึง
แก้, แก้
แก๋ะ, แกะ
แก๋ะสลั๋ก, แกะสลัก
ขั๋ดเงา, ขัดเงา
ควั่น, ควั่น
เจ๋าะ, เจาะ
จุ้บ, ชุบ
ตั๋ด, ตัด
ถั๋ก, ถัก
ถาก, ถาก
ตอ, ทอ
เนา, เนา
ป๋ะ, ปะ
ปั่น, ปั่น
ปั้น, ปั้น
มั่ด, ผูก
ฝน, ฝน
ฝั้น, ฟั่น
พั่น, พับ
มั่ด, มัด
ญ้อม, ย้อม
ญิ๋บ, เย็บ
ฮ้อย, ร้อย
เล่าะ, เลาะ
วั่ด, วัด
วาด, วาด
แต้ม, วาด
ต้อง, สลัก
สลั๋ก, สลัก
สอย, สอย
ห่อ, ห่อ
หล่อ, หล่อ
เหลา, เหลา
ก๋ด, กด
เต๋ก, กด
ข๋บ, กัด
ตี๋นตั้ง, กระทืบ
ญอก, กระทืบ
กะแทก, กระแทก
กวั๋ก, กวัก
ขวิ๋ด, ขวิด
วั่ดหัว, เขกหัว
จ้กหัว, เขกหัว
สั๋บมะกอก, เขกหัว
เขี่ย, เขี่ย
ข้า, ฆ่า
เขี้ยน, เฆี่ยน
งั่บ, งับ
จิ๋ก, จิก
จิ้ม, จิ้ม
ส๋ก, ฉก
ซุ๋ด, ฉุด
ซูด, โฉบ
จ้ก, ชก
จน, ชน
ต๋ำใส่, ชน
จี๊, ชี้
ซ้อม, ซ้อม
ญู้, ดัน
ดึง, ดึง
ต๋บ, ตบ
จ้ก, ต่อย
ตี๋, ตี
เต๋ะ, เตะ
ทั่บ, ทับ
ถิ้ม, ทิ่ม
ตึ๊ง, ทึ้ง
บุ๋บ, ทุบ
แตง, แทง
ใส่ศอก, ถอง
ถีบ, ถีบ
บิ๋ต, บิด
บีบ, บีบ
แบก, แบก
ตี๋, โบย
ป้ำ, ปลํ้า
ญู้, ผลัก
แมน, โผล่
หล่อใส่, พุ่งเข้าใส่
ฟัน, ฟัน
ฟาด, ฟาด
ญํ่า, ยํ่า
ญิง, ยิง
ฮั่ด, รัด
ลาก, ลาก
หวด, หวด
หยิ๋ก, หยิก
ญํ่า, เหยียบ
เหวี่ยง, เหวี่ยง
ก้ม, ก้ม
โต๋น, กระโจน
สะต้ก, กระชาก
กะดุ๋กกะดิ๋ก, กระดุกกระดิก
ต๊วง, กระดุกกระดิก
เด๋าะ, กระเดาะ
วิ่ด, กระโดด
กะโดด, กระโดด
กะตุ๋ก, กระตุก
ถ๋อดแถ๋ด, กระเถิบ
พั่บต๋า, กระพริบตา
กวั๋ก, กวัก
ก้าว, ก้าว
กิ้ง, กลิ้ง
แกว่ง, แกว่ง
ไกว๋, ไกว
ขนส่ง, ขนส่ง
ข๋ด, ขยับ
สี, ขยี้
ขึ้น, ขึ้น
ห่ม, ขย่ม
ญู้, เข็น
แหย่งแย๋ะ, เขย่ง
