คำเมือง, คำไทย
เหงือก, เหงือก
หนอก, โหนก
ไหล่, ไหล่
หำ, อัณฑะ
ขะหลำ, อัณฑะ
ควย, องคชาติ
หี, อวัยวะเพศหญิง
เอ็น, เอ็น
แอว, เอว
กะโหล้ง, กะลา
ก้าน, ก้าน
กาบ, กาบ
กิ่ง, กิ่ง
เก๋สร, เกสร
แขนง, แขนง
ข้อ, ข้อ
ขวั้น, ขั้ว
ง่าไม้, ค่าคบ
เคือ, เครือ
เก๊า, โคนต้น
ตางเก๊า, โคนต้น
แง่ง, แง่ง
จั่น, จั่น
จ๋าว, จาว
แก๋น, ซัง
แก๋นใน, ซัง
เก๊า, ต้น
ต๋อ, ตอ
ต๋าไม้, ตาไม้
ก้าน, ทางมะพร้าว
ใบ, ใบ
ป้อง, ปล้อง
ปี๋, ปลี
เปือก, เปลือก
ฟั๋ก, ฝัก
แก่น, เมล็ด
ญวง, ยวง
ญอด, ยอด
ฮาก, ราก
หน่วย, ลูก
หน่วย, ผล
หน่อ, หน่อ
หยวก, หยวก
หัว, หัว
เหง้า, เหง้า
ก๋งดีดฝ้าย, กงดีดฝ้าย
มีดญั่บ, กรรไกร
สวยดอกไม้, กรวยดอกไม้
แว่น, กระจกส่องหน้า
ด้ง, กระด้ง
แมวขูดมะป๊าว, กระต่ายขูดมะพร้าว
หม้อขาง, กระทะ
กะท่ะ, กระทะ
น้ำบวย, กระบวย
บุง, กระบุง
น้ำคุ่, กระป๋องน้ำ
กะโถน, กระโถน
กะสอบ, กระสอบ
ก่อง, กล่อง
ก่องเข้า, กล่องข้าว
กั๋บ, กับดัก
ก๋า, กา
ต๋าจั้ง, ตาชั่ง
แก้วนํ้า, แก้วน้ำ
เก้าอี้, เก้าอี้
ขวด, ขวด
มุย, ขวาน
ข้อง, ข้อง
ขันเงิน, ขันเงิน
สะหลุงเงิน, ขันเงิน
ก๋อกน้ำ, ขันน้ำ
ขันน้ำ, ขันน้ำ
เข็ม, เข็ม
เข็มกะลั๋ด, เข็มซ่อนปลาย
เขียง, เขียง
ขวด, ขวด
น้ำต้น, คนโท
ค่ก, ครก
มอง, ครกกระเตื่อง
ค่กมอง, ครกกระเตื่อง
ไม้ตาบตา, คราดไม้
กีม, คีม
กีมน่กเก๊า, คีมปากนกแก้ว
เกียว, เคียว
ป้าก, จวัก
ก๋อก, จอก
ก๋อก, ขันขนาดเล็ก
ขอบ๋ก, จอบ
ขอจ๋ก, จอบ
กะตํ้า, จั่นดักปลา
จั่นห้าว, จั่นห้าว
จ๋าน, จาน
ถ้วยแบน, จาน
จุ๋ก, จุก
จ๊อน, ช้อน
ขันหมาก, เชี่ยนหมาก
แอ๋บหมาก, เชี่ยนหมาก
เจื้อก, เชือก
ซ่อม, ส้อม
ไซ, ไซ
เจื้อกเหล๋ก, โซ่
โส้, โซ่
ด้าย, ด้าย
ดินสอ, ดินสอ
แอ๋บ, ตลับ
อูบ, ตลับ
ตอก, ตอกมัด
ตอก, ตอกผูก
ซ้า, ตะกร้า
เปี้ยด, ตะกร้า
เหิง, ตะแกรง
โกม, ตะเกียง
ตะเกียง, ตะเกียง
ตะเกียบ, ตะเกียบ
ตั่ง, ตั่ง
ตู้, ตู้
ตู้เสื้อผ้า, ตู้เสื้อผ้า
ตู้เย็น, ตู้เย็น
เตียง, เตียง
เต๋าไฟ, เตาไฟ
โต้ะ, โต๊ะ
ขันโตก, โตก
ถ้วย, ถ้วย
น้ำคุ่, ถังน้ำ
ถาด, ถาด
ถุง, ถุง
ถง, ถุง
ถุงญ่าม, ถุงย่าม
ถงญ่าม, ถุงย่าม
ไถ, ไถ
ทัพพี, ทัพพี
สะลี, ที่นอน
เบ๋ด, เบ็ด
ผ้าก้อบ, เบาะรองนั่ง
เสื้อหมอน, ปลอกหมอน
ปอกหมอน, ปลอกหมอน
ปากก๋า, ปากกา
แปงสีฟัน, แปรงสีฟ้น
แปงสีเขี้ยว, แปรงสีฟ้น
ผ้าเจ้ดตั๋ว, ผ้าเช็ดตัว
ผ้าเจ้ดหน้า, ผ้าเช็ดหน้า
ผ้าสี่แจ่ง, ผ้าเช็ดหน้า
ผ้าแฮ, ผ้าแพร
ผ้าด้วบ, ผ้านวม
ผ้านวม, ผ้านวม
ผ้าปู๋โต้ะ, ผ้าปูโต๊ะ
ผ้าหล๋บ, ผ้าปูที่นอน
ผ้าหม้าน, ผ้าม่าน
ผ้าห่ม, ผ้าห่ม
ผ้าอ้อม, ผ้าอ้อม
ฝาจี, ฝาชี
ฝาหม้อ, ฝาหม้อ
