ข้าว, เข้า
เหงือก, เหงือก
โหนก, หนอก
ไหล่, ไหล่
อัณฑะ, หำ
อัณฑะ, ขะหลำ
องคชาติ, ควย
อวัยวะเพศหญิง, หี
เอ็น, เอ็น
เอว, แอว
กะลา, กะโหล้ง
ก้าน, ก้าน
กาบ, กาบ
กิ่ง, กิ่ง
เกสร, เก๋สร
แขนง, แขนง
ข้อ, ข้อ
ขั้ว, ขวั้น
ค่าคบ, ง่าไม้
เครือ, เคือ
โคนต้น, เก๊า
โคนต้น, ตางเก๊า
แง่ง, แง่ง
จั่น, จั่น
จาว, จ๋าว
ซัง, แก๋น
ซัง, แก๋นใน
ต้น, เก๊า
ตอ, ต๋อ
ตาไม้, ต๋าไม้
ทางมะพร้าว, ก้าน
ใบ, ใบ
ปล้อง, ป้อง
ปลี, ปี๋
เปลือก, เปือก
ฝัก, ฟั๋ก
เมล็ด, แก่น
ยวง, ญวง
ยอด, ญอด
ราก, ฮาก
ลูก, หน่วย
ผล, หน่วย
หน่อ, หน่อ
หยวก, หยวก
หัว, หัว
เหง้า, เหง้า
กงดีดฝ้าย, ก๋งดีดฝ้าย
กรรไกร, มีดญั่บ
กรวยดอกไม้, สวยดอกไม้
กระจกส่องหน้า, แว่น
กระด้ง, ด้ง
กระต่ายขูดมะพร้าว, แมวขูดมะป๊าว
กระทะ, หม้อขาง
กระทะ, กะท่ะ
กระบวย, น้ำบวย
กระบุง, บุง
กระป๋องน้ำ, น้ำคุ่
กระโถน, กะโถน
กระสอบ, กะสอบ
กล่อง, ก่อง
กล่องข้าว, ก่องเข้า
กับดัก, กั๋บ
กา, ก๋า
ตาชั่ง, ต๋าจั้ง
แก้วน้ำ, แก้วนํ้า
เก้าอี้, เก้าอี้
ขวด, ขวด
ขวาน, มุย
ข้อง, ข้อง
ขันเงิน, ขันเงิน
ขันเงิน, สะหลุงเงิน
ขันน้ำ, ก๋อกน้ำ
ขันน้ำ, ขันน้ำ
เข็ม, เข็ม
เข็มซ่อนปลาย, เข็มกะลั๋ด
เขียง, เขียง
ขวด, ขวด
คนโท, น้ำต้น
ครก, ค่ก
ครกกระเตื่อง, มอง
ครกกระเตื่อง, ค่กมอง
คราดไม้, ไม้ตาบตา
คีม, กีม
คีมปากนกแก้ว, กีมน่กเก๊า
เคียว, เกียว
จวัก, ป้าก
จอก, ก๋อก
ขันขนาดเล็ก, ก๋อก
จอบ, ขอบ๋ก
จอบ, ขอจ๋ก
จั่นดักปลา, กะตํ้า
จั่นห้าว, จั่นห้าว
จาน, จ๋าน
จาน, ถ้วยแบน
จุก, จุ๋ก
ช้อน, จ๊อน
เชี่ยนหมาก, ขันหมาก
เชี่ยนหมาก, แอ๋บหมาก
เชือก, เจื้อก
ส้อม, ซ่อม
ไซ, ไซ
โซ่, เจื้อกเหล๋ก
โซ่, โส้
ด้าย, ด้าย
ดินสอ, ดินสอ
ตลับ, แอ๋บ
ตลับ, อูบ
ตอกมัด, ตอก
ตอกผูก, ตอก
ตะกร้า, ซ้า
ตะกร้า, เปี้ยด
ตะแกรง, เหิง
ตะเกียง, โกม
ตะเกียง, ตะเกียง
ตะเกียบ, ตะเกียบ
ตั่ง, ตั่ง
ตู้, ตู้
ตู้เสื้อผ้า, ตู้เสื้อผ้า
ตู้เย็น, ตู้เย็น
เตียง, เตียง
เตาไฟ, เต๋าไฟ
โต๊ะ, โต้ะ
โตก, ขันโตก
ถ้วย, ถ้วย
ถังน้ำ, น้ำคุ่
ถาด, ถาด
ถุง, ถุง
ถุง, ถง
ถุงย่าม, ถุงญ่าม
ถุงย่าม, ถงญ่าม
ไถ, ไถ
ทัพพี, ทัพพี
ที่นอน, สะลี
เบ็ด, เบ๋ด
เบาะรองนั่ง, ผ้าก้อบ
ปลอกหมอน, เสื้อหมอน
ปลอกหมอน, ปอกหมอน
ปากกา, ปากก๋า
แปรงสีฟ้น, แปงสีฟัน
แปรงสีฟ้น, แปงสีเขี้ยว
ผ้าเช็ดตัว, ผ้าเจ้ดตั๋ว
ผ้าเช็ดหน้า, ผ้าเจ้ดหน้า
ผ้าเช็ดหน้า, ผ้าสี่แจ่ง
ผ้าแพร, ผ้าแฮ
ผ้านวม, ผ้าด้วบ
ผ้านวม, ผ้านวม
ผ้าปูโต๊ะ, ผ้าปู๋โต้ะ
ผ้าปูที่นอน, ผ้าหล๋บ
ผ้าม่าน, ผ้าหม้าน
ผ้าห่ม, ผ้าห่ม
ผ้าอ้อม, ผ้าอ้อม
ฝาชี, ฝาจี
ฝาหม้อ, ฝาหม้อ
พร้า, มีดโต้
พะอง, เกิ๋น
พัด, วี
พัดลม, พัดลม
พานคอกไม้, ขันดอก
โพง, น้ำถุ้ง
ฟืม, ฟืม
ไฟฉาย, ไฟสาย
ไฟฉาย, โกมไฟสาย
มีด, มีด
มีดบาง, มีดบาง
มีดพก, มีดซุย
มุ้ง, สุ๋ด
มุ้ง, มุ้ง
ไม้กลัด, ไม้กะลั๋ด
ไม้กระบอง, ไม้ค้อน
ท่อนไม้, ไม้ค้อน
ไม้กวาด, ญู
ไม้ขีดไฟ, กั๋บไฟ
ไม้จิ้มพัน, ไม้สวั๋กเขี้ยว
ไม้จิ้มพัน, ไม้จิ้มเขี้ยว
ไม้ถ่อ, ไม้ถ่อ
ไม้เท้า, ไม้ต๊าว
ไม้บรรทัด, ไม้บรรทั่ด
ไม้พาย, ไม้ฟาย
ไม้พาย, ไม้พาย
ไม้ส้าว, ไม้ส้าว
ไม้เสียบพริก, ไม้เสียบพิ่ก
ไม้เรียว, ไม้แส้
ยอ, จํ๋า
ยางลบ, ยางล่บ
ร่ม, จ้อง
ราง, ฮาง
แร้ว, แฮ้ว
ลังถึง, ซึ้ง
ลังถึง, ลังถึง
วงเวียน, วงเวียน
แว่นตา, แว่นต๋า
สมุด, สมุ๋ด
สว่าน, เหล๋กจี
สวิง, หิง
สาก, สาก
สายตะพาย, สายดัง
