ข้าว, เข้า
กล้วยหักมุก, ก้วยส้ม
กะท้อน, มะต้อง
กะท้อน, มะตื๋น
ขนุน, มะหนุน
เงาะ, เง่าะ
เงาะ, มะเง่าะ
ชมพู่, มะซมปู
ตะขบ, มะเกว๋น
แตงโม, มะเต้า
แตงไทย, มะแต๋งลาย
ทับทิม, มะก๊อ
ทุเรียน, ทุ่เลียน
ทุเรียน, มะถั่วเลียน
น้อยหน่า, มะหน้อแหน้
ฝรั่ง, มะแก๋ว
ฝรั่ง, มะก้วย
ฝรั่ง, มะหมั้น
พุทรา, มะตัน
มะกอก, มะกอก
มะขาม, มะขาม
มะขามเทศ, มะขามข้อง
มะขามป้อม, มะขามป้อม
มะดัน, มะดัน
มะเดื่อ, มะเดื่อ
มะตูม, มะปิน
มะปราง, มะผาง
มะพร้าว, มะป๊าว
มะพร้าวอ่อน, มะป๊าวหนุ่ม
มะไฟ, มะไฟ
มะม่วง, มะม่วง
มะยม, มะญม
มะละกอ, มะก้วยเต้ด
มังคุด, มังคุ่ด
ลองกอง, ลองกอง
ละมุด, มะมุ่ด
ลางสาด, ลางสาด
ลำไย, ลำไญ
ลำไย, มะลำไญ
ลิ้นจี่, ลิ้นจี่
ลิ้นจี่ป้า, มะคอแลน
ถูกพลับ, มะกั๋บตอง
สมอ, มะน่ะ
ส้มเกลี้ยง, ส้มเกี้ยง
ส้มเขียวหวาน, ส้มเขียวหวาน
ส้มโอ, มะโอ
สับปะรด, มะขะหนั๋ด
กล้วยไม้, ดอกเอื้อง
ดอกกระเจียว, ดอกอาว
ดอกกระดังงา, ดอกสะบันงา
ดอกกระถินเทศ, ดอกคำใต้
ดอกกุหลาบ, ดอกกุหลาบ
ดอกแก้ว, ดอกแก้ว
ดอกขจร, ดอกสลิ๋ด
ดอกเข็ม, ดอกเข็ม
ดอกคัคเค้า, ดอกเก๋ดเก๊า
ดอกคูน, ดอกลมแล้ง
ดอกจำปา, ดอกจ๋ำป๋า
ดอกจำปา, ดอกจุ๋มป๋า
ดอกจำปี, ดอกจํ๋าปี๋
ดอกจำปี, ดอกจุ๋มปี๋
ดอกชบา, ดอกใหม่
ดอกซ่อนกลิ่น, ดอกหอมไก๋
ดอกดาวเรือง, ดอกคำปู้จู้
ดอกทองกวาว, ดอกกว๋าว
ดอกทานตะวัน, ดอกบัวผั๋ด
ดอกทานตะวันป่า, ดอกบัวตอง
ดอกเทียน, ดอกเตียน
ดอกบัว, ดอกบัว
ดอกบัวเผื่อน, ดอกป๊าน
ดอกบานชื่น, ดอกบานจื้น
ดอกบานไม่รู้โรย, ดอกตะหล้อม
ดอกบานเย็น, ดอกจํ๋าญาม
ดอกบุนนาค, ดอกกำก่อ
ดอกปีบ, ดอกก๋าสะลอง
ดอกพวงประดิษฐ์, ดอกเคือออน
ดอกพิกุล, ดอกแก้ว
ดอกพุด, ดอกปุ้ต
ดอกพุดซ้อน, ดอกเก๋ดถะหวา
ดอกพุดตาล, ดอกสามสี
ดอกพุทธรักษา, ดอกบัวละวง
ดอกพู่ระหง, ดอกใหม่ส้อย
ดอกเฟื่องฟ้า, ดอกเฟื่องฟ้า
ดอกมหาหงส์, ดอกต๋าเหิน
ดอกมะลิ, ดอกมะลิ่
ดอกมะลิวัลย์, ดอกแซ่ว
ดอกยี่ทุบ, ตอกจี๋หุ๋บ
ดอกรัก, ดอกป๋านเถื่อน
ดอกลั่นทม, ดอกจํ๋าป๋าลาว
ดอกลำเจียก, ดอกเกี๋ยง
ดอกลำดวน, ดอกหอมนวน
ดอกโศก, ดอกส้ทสุ๋ก
ดอกสารภี, ดอกสาละปี
ดอกหงอนไก่, ดอกด้าย
กระสัง, ฮากก้วย
ก้ามปู, สำสา
ข่อย, ข่อย
ขี้เหล็ก, ขี้เหล๋ก
คราม, ห้อม
งิ้ว, งิ้ว
ชงโค, เสี้ยว
ดอกดิน, หญ้าเข้ากํ่า
เดือย, เดือย
ต้อยติ่ง, ผั๋กดีด
ต้นโพธิ์, เก๊าสะหลี
ต้นข้าว, ต้นเข้า
ตาล, ต๋าน
เตย, เตย
ตำแย, หานไก่
เต็ง, ไม้แง่ะ
ไทร, ไฮ
นุ่น, งิ้ว
พลวง, ไม้ตึง
พลับพลึง, ลีลัว
พะยอม, ขะญอม
ไพล, ปูเลย
ฝอยทอง, เคือเขาคำ
ฟาง, เฟือง
บอระเพ็ด, จุ้งจาลิง
มะกลํ่าตาหนู, มะกํ่าต๋าไก่
ประคำดีควาย, มะซั่ก
ไมยราบ, หญ้าจิ๋ญอบ
ไม้รวก, ไม้ฮวก
ไม้ไร่, ไม้ไฮ่
ไม้เลียบ, ผั๋กเฮือด
รัง, ไม้เปา
ละหุ่ง, มะหุ่ง
ลาน, ลาน
สลอด, มะข่าง
สาบเสือ, หญ้าแมงวาย
สีเสียด, สีเสียด
หญ้า, หญ้า
หญ้าเจ้าชู้, หญ้าก่อน
หนาด, หนาด
หมามุ่ย, มะเหนียง
หมาก, หมาก
หมากผู้, หมากปู๊
หางนกยูง, ซอมพอ
ปลากด, ป๋าก๋ด
ปลากระเบน, ป๋าไม
ปลากระดี่, ป๋าสะลาก
ปลากราย, ป๋าต๋อง
ปลากา, ป้าก๋า
ปลาเข็ม, ป๋าเข็ม
ปลาแขยง, ป๋าแก้ด
ปลาช่อน, ป๋าหลิม
ปลาชะโด, ป๋าก่อ
ปลาดุก, ป๋าดุ๋ก
ปลาตะเพียน, ป๋าขาว
ปลาเทโพ, ป๋าเต้าะ
ปลาทู, ป๋าทู
ปลานิล, ป๋านิล
ปลาเนื้ออ่อน, ป๋าหวาน
ปลาบึก, ป๋าบึ๋ก
ปลาสลิด, ป๋าสะลิ๋ด
ปลาสร้อย, ป๋าบอก
ปลาสวาย, ป๋าสวาย
ปลาหมอ, ป๋าสะเต๋ด
ปลาหมึก, ป๋าหมึ๋ก
ปลาหมู, ป๋าหมู
ปลาหลด, ป๋าล๋ด
ปลาไหล, ป๋าเหยี่ยน
ตัวนาก, บ้วน
ไก่, ไก่
ไก่แจ้, ไก่แจ้
ไก่ชน, ไก่จน
ไก่ต่อ, ไก่ตั้ง
ไก่อู, ไก่จง
ค้างคาว, ฮุ้งคาว
นกกระจาบ, น่กจาบ
นกกระจิบ, น่กจิ๋บ
นกกระทา, น่กกะทา
นกกระทา, น่กปะตา
นกกระทุง, น่กตุ่งตุง
นกกะปูด, น่กก้นปู้ด
นกกระเรียน, น่กเขียน
นกกระสา, น่กคองู
นกกวัก, น่กกวั๋ก
นกกระเต็น, น่กกะเต็น
นกกางเขน, น่กจี๋แจ้บ
นกกาเหว่า, น่กก๋าเหว่า
นกกาเหว่า, น่กป้อเฮย
นกกินปลี, น่กกิ๋นปี๋
นกแก้ว, น่กแล
นกขมิ้น, น่กเข้าหมิ้น
นกขุนทอง, น่กเอี้ยงคำ
นกเขา, น่กเขา
นกแขวก, น่กขวาก
นกเค้าแมว, น่กเก๊า
นกเงือก, น่กก๋ก
นกถึดทือ, น่กปู่ติ้ด
นกนางแอ่น, น่กแอ่น
นกปรอด, น่กปิ๋ดจะลิว
นกพิราบ, น่กก๋าแก๋
นกโพระดก, น่กป๋ก
นกยาง, น่กญาง
นกยูง, น่กยูง
นกแสก, น่กเก๊าจ๊าง
เพลี้ย, เพี้ย
มดคันไฟ, ม่ดแดงไฟ
มดง่าม, ม่ดง่าม
มดแดง, ม่ดส้ม
มวนลำไย, มวนลำไญ
มอด, มอด
มิ้ม, มิ้น
แมงกะชอน, แมงจอน
แมงคาเรือง, แมงคา
แมงป่อง, แมงป่อง
แมงป่องช้าง, แมงเวา
แมงมุม, แมงก๋ำปุ๊ง
แมลงตด, แมงขี้ต๋ค
แมลงปอ, ก๋ำบี้
แมลงทับ, แมงตั้บ
แมลงวัน, แมงวัน
แมลงวัน, แมงงุน
แมลงภู่, แมงปู้
แมลงสาบ, แมงสาบ
แมลงหวี่, แมงหวี่
ยุง, ฌุง
เรือด, เฮือด
ริ้น, ฮิ้น
ไร, ไฮ
ลองไน, แมงว้าง
ลูกนํ้า, แมงง้องแง้ง
ลูกนํ้า, หนอนน้ำ
ไส้เดือน, ขี้เดือน
หนอน, หนอน
หนอนผีเสื้อ, แมงบ้ง
เหนี่ยง, เหนี่ยง
หมาร่า, แมงใบ้
หมัด, หมั๋ด
หิ่งห้อย, หิ่งห้อย
เห็บ, เห๋บ
เหา, เหา
กระจง, ไก้
กระต่าย, กะต่าย
กระจ้อน, ไหน่
กระจ้อน, จ่อน
กระทิง, กะติง
กระรอก, ฮอก
กระรอก, อี่ฮอก
กวาง, กว๋าง
เก้ง, ฟาน
ควาย, ควาย
ค่าง, ก้าง
ชะนี, อี่ฮุย
ชะมด, เห็นอ้ม
ช้าง, จ๊าง
ตุ่น, ตุ่น
พังพอน, ปังปอน
พังพอน, จ่อนขุ่ย
แมว, แมว
ละมั่ง, ละโว้
ลิง, วอก
แรด, แฮด
เสือ, เสือ
หนู, หนู
หมา, หมา
หมี, หมี
หมู, หมู
หมูป่า, หมูป่า
อ้น, อ้น
กบ, ก๋บ
กิ้งก่า, จั๋กก่า
เขียด, เขียด
คางคก, คางคาก
งูเขียว, งูเขียว
งูจงอาง, งูจ๋งละอาง
งูไซ, งูไซ
งูสิง, งูสิง
งูเห่า, งูเห่า
จระเข้, จั๋กเข้
จิ้งจก, จิ๋กจิ้ม
จิ้งเหลน, จั๋กกะเล้อ
ตะกวด, แลน
ตะขาบ, จิ๋กขาบ
ตะเข็บ, จิ๋กเค๋บ
ตุ๊กแก, ต๋กโต
แย้, แญ้
กุ้งยิง, ต๋าเป๋นต๋อน
ขี้แมลงวัน, ขี้แมงวัน
ขี้แมลงวัน, ขี้แมงงุน
ขี้เรื้อน, ขี้เฮื้อน
คอพอก, คอเอิม
คอพอก, คอเหนียง
คัน, คัน
คางทูม, ฮ่าวอก
เจ็บไข้ได้ป่วย, เป๋นผะญาด
เจ็บไข้ได้ป่วย, บ่สบาย
ต้อ, ต้อ
ตาเข, ต๋าเข
ตาเข, ต๋าเหล้อ
ตาส่อน, ต๋าล่อน
ตาเหล่, ต๋าเหล้
ตานขโมย, ซาง
ตุ่ม, ตุ่ม
ท้องเดิน, หลุ๋ต๊อง
ท้องเสีย, หลุ๋ต๊อง
ท้องอืด, ต๊องอืด
บ้า, บ้า
ปวดขา, เจ๋บขา
ปวดแขน, เจ๋บแขน
ปวดตา, เจ๋บต๋า
ปวดท้อง, เจ๋บต๊อง
ปวดฟัน, เจ๋บเขี้ยว
ปวดหลัง, เจ๋บหลัง
ปวดหัว, เจ๋บหัว
ปวดเอว, เจ๋บแอว
เป็นไข้, เป๋นไข้
เป็นไข้, เมื่อย
เป็นลม, เป๋นลม
แผลในปาก, ขาง
แผลในปาก, ปากเป๋นขาง
ฝี, ฝี
พยาธิ, ตัวตึก
พิษสุนัขบ้า, ว้อ
พิษสุนัขบ้า, เป๋นว้อ
แพ้ยา, แป๊ยา
แพ้อากาศ, แป๊อากาศ
แพ้อาหาร, กิ๋นผิ๋ด
ฟันหลอ, เขี้ยวเว่า
มะเร็ง, มะเฮ็ง
ริดสีดวงทวาร, มะโหกก้นปู้ด
เรื้อน, ขี้ตู้ด
โรคกระษัย, มะโหก
ลมบ้าหมู, ลมจั้ก
ลมพิษ, หมึน
วัณโรค, ฝีในต๊อง
วัณโรค, วัณโลค
เวียนหัว, เมาหัว
หอบ, หอบ
ออกหัด, ออกหั๋ด
อีสุกอีใส, ตุ่มใส
กง, ก๋ง
กำ, ก๋ำ
เกวียน, ล้อ
เกวียน, ล้องัว
คานหาม, กานหาม
ซี่, สี้
โซ่, โส้
ดุม, ดุม
แตร, แก
พวงมาลัย, พวงมาลัย
แพ, แป
เพลา, เพา
ยางรถ, ล้อ
รถเก๋ง, ล่ดเก๋ง
รถจักรยาน, ล่ดถีบ
รถมอเตอร์ไซค์, ล่ดเคื่อง
รถดับเพลิง, ล่ดหวอ
รถตู้, ล่ดตู้
รถบรรทุก, ล่ดบันทุ่ก
รถไฟ, ล่ดไฟ
รถม้า, ล่ดม้า
รถยนต์, ล่ดยนต์
รถสองแถว, ล่ดสี่ล้อ
รถสามล้อ, ล่ดสามล้อ
รถสามล้อ, สามล้อถีบ
เรือ, เฮือ
เรือสำเภา, เฮือสะเปา
เสลี่ยง, เสลี่ยง
กรวย, สวย
เข้าพรรษา, เข้าวสา
คัมภีร์, กำปี
เครื่องไทยทาน, คัวตาน
โคมลอย, โกมลอย
งานฉลอง, งานปอย
เจ้าอาวาส, ตุ้หลวง
ดอกไม้ไฟ, บอกไฟ
เทศน์, เต้ด
เทียน, เตียน
ธงสามเหลี่ยม, จ้อ
ธงล้านนา, ตุง
ธูป, ธูป
น้ำมนต์, น้ำมนต์
นํ้าที่ใช้กรวดนํ้า, น้ำหยาด
บวชเณร, บวชลูกแก้ว
บวชพระ, บวชเป้ก
บวชพระ, บวชพ่ะ
ประตูป่า, ปะตู๋ป่า
พระสงฆ์, ตู้เจ้า
พระผู้ใหญ่, คูบา
พ่อซื้อแม่ซื้อ, ป้อเกิดแม่เกิด
ระฆัง, เด็ง
ระฆัง, ละฆัง
ลอยกระทง, ญี่เป็ง
วันขึ้น 15 คํ่า, วันเดือนเป็ง
วันเถลิงศก, วันพะญาวัน
วันพระ, วันพ่ะ
วันพระ, วันศีล
วันมหาสงกรานต์, วันสังขารล่อง
วันแรม 15 คํ่า, วันเดือนดั๋บ
วันสุกดิบ, วันดา
สลากภัตร, ก๋วยสลาก
สงกรานต์, ปี๋ใหม่
สัปทน, จ้องหลวง
ออกพรรษา, ออกวสา
กลอง, ก๋อง
กลองเพล, ก๋องปู่จา
กลองยาว, ก๋องแอว
ขลุ่ย, ขุ่ย
ขายของ, ขายคัว
ฆ้อง, ก๊อง
ฉาบ, สว่า
ฉิ่ง, สิ่ง
ซ่อนหา, ลั่บลี้
ตั้งเต, บ้าต๋าแสง
ประทัด, มะถ๋บ
ปี่, ปี่
แตร, แน
แตรวง, แกวง
เพลงพื้นบ้าน, ซอ
ระนาด, ละนาด
รำ, ฟ้อน
ลูกข่าง, มะข่าง
เล่นชิงช้า, สิ๋กจุ้งจา
ว่าว, ว่าว
หนังสติ๊ก, ก๋ง
กำนัน, ป้อแคว่น
ข้าราชการ, ข้าลาดสะก๋าน
คนขับเพลงพื้นบ้าน, จ้างซอ
คนใช้, คนใจ๊
คนฟ้อนรำ, จ้างฟ้อน
ครู, คู
คหบดีชาย, ป้อเลี้ยง
คหบดีหญิง, แม่เลี้ยง
ช่าง, สล่า
ช่าง, จ้าง
ช่างทอผ้า, จ้างคอผ้า
ช่างไม้, จ้างไม้
ตำรวจ, ต๋ำหลวด
ทหาร, ตะหาร
นักร้อง, นั่กล้อง
นายอำเภอ, นายอำเภอ
ปลัด, ปะลั๋ด
ผู้ชายที่หย่ากับภรรยา, ป้อฮ้าง
ผู้ทำพิธีทางศาสนา, อาจ๋าน
ผู้หญิงที่หย่ากับสามี, แม่ฮ้าง
ผู้ใหญ่บ้าน, ป้อหลวง
พยาบาล, พยาบาล
พ่อค้า, ป้อก๊า
พ่อหม้าย, ป้อหม้าย
แม่ค้า, แม่ก๊า
แม่หม้าย, แม่หม้าย
ลูกจ้าง, ลูกจ้าง
สัปเหร่อ, สั๋บปะเหล่อ
หมอ, หมอ
หมอดู, หมอเมื่อ
หมอนวด, หมอนวด
หมอผี, หมอผี
อาจารย์, อาจ๋าน
อุบาสก, ป้อออก
อุบาสิกา, แม่ออก
กระบอก, บอก
กลีบ, กีบ
กลีบ, หลีบ
กอ, ก๋อ
กอง, ปุ้น
กำ, ก๋ำ
ขั้น, ขั้น
ข้าง, ข้าง
ข้าง, ขอน
ข้าง, เบื้อง
คน, คน
ครั้ง, เตื้อ
เที่ยว, เตื้อ
คัน, กัน
คำ, กำ
คืบ, คืบ
คู่, กู้
เครือ, เคือ
ช่อ, จ้อ
ชิ้นเล็กๆ, ติ่น
ชั้น, จั๊น
ซอง, ซอง
ซี่, สี้
ซีก, โขบ
ดวง, ดวง
ตน, ต๋น
ต้น, ต้น
ต้น, เก๊า
ตับ, ไพ
ตัว, ตั๋ว
ถุง, ถุง
ถุง, ถง
แถว, แถว
ท่อน, ต้อน
ทะนาน, ลิ่ตร
ทะนาน, แคง
ทะลาย, ปี๋
แปลง, ปั้น
ผืน, ผืน
แผ่น, แผ่น
ฝัก, ฝั๋ก
พวง, ปุ้ก
พวก, หมู่
พับ, แหลบ
มวน, เบ้า
มัด, มั่ด
มื้อ, มื้อ
ยวง, ญวง
รูป, ต๋น
ลูก, แก่น
ลูก, หน่วย
ใบ, แก่น
ใบ, หน่วย
ฟอง, แก่น
ฟอง, หน่วย
เม็ด, แก่น
เม็ด, หน่วย
เล่ม, เถี่ยน
เล่ม, เหล้ม
วง, วง
วง, บ้วง
วา, วา
แว่น, แหว้น
สาย, สาย
เส้น, เส้น
หลอด, หลอด
หลัง, หลัง
ห่อ, ห่อ
หาบ, หาบ
อย่าง, อย่าง
อัน, อัน
กวน, ก๋วน
ก่อไฟ, ดังไฟ
แกะ, แก๋ะ
แกง, แก๋ง
ขอด, ขอด
ขอด, เถ๋าะ
ขยำ, ฟั้น
ขูด, ขูด
โขลก, ต๋ำ
คน, กน
คลุก, คุ่ก
คลุก, สุ๋บ
คั้น, กั๊น
คั่ว, ขั้ว
จี่, จี่
จุ่ม, จุ่ม
เจียว, เจี๋ยว
เฉาะ, เบ๋าะ
ชำแหละ, คัว
แช่, แจ้
ซอย, ซอย
ซาวข้าว, หวดเข้า
ดอง, ดอง
เด็ด, เด๋ด
เด็ด, ไซ้
ตัก, ตั๋ก
ต้ม, ต้ม
ตำ, ต๋ำ
เติม, เตื่อม
ทอด, ทอด
ทำอาหาร, ญ่ะกิ๋น
ทุบ, ตุ้บ
เท, เท
เท, ถอก
นวด, นวด
นึ่ง, หนึ้ง
บด, บ๋ด
บั้ง, บั้ง
บีบ, บีบ
ปอก, ปอก
ปั่น, ปั่น
ปั้น, ปั้น
ปาด, ปาด
ปิ้ง, ปิ้ง
ผัด, ผั๋ด
ผ่า, โบ๋ะ
ผิง, ผิง
เผา, เผา
ฝัด, ฟั๋ด
พลิก, ปิ้น
มวน, มวน
ม้วน, ม้วน
มัด, มั่ด
โม่, โหม้
ยก, ญ่ก
ยก, ป๋ด
ยัด, ญั่ด
ย่าง, หย้าง
ยำ, ญำ
ยำ, ส้า
ยี, ญี
ร่อน, ฮ่อน
รูด, ฮูด
ลวก, ลวก
ลอก, ลอก
เลาะ, เล่าะ
แล่, แล่
สะเด็ด, สะเด๋ด
สุก, สุ๋ก
สับ, ลาบ
สับ, ฟั่ก
เสียบ, เสียบ
ห่อ, ห่อ
หั่น, ก๋ก
ทุง, หุง
หมก, หม๋ก
หมัก, หมั๋ก
หลาม, หลาม
อบ, อ๋บ
กลืน, ลืน
กัด, ข๋บ
กิน, กิ๋น
เคี้ยว, เกี๊ยว
งับ, งั่บ
จิบ, จิ๋บ
จิ้ม, จิ้ม
ฉัน, ฉัน
ฉัน, สัน
ชิม, จิม
ซด, หีบ
ดื่ม, กิ๋น
ดูด, ดูด
แทะ, เคา
แทะ, แหง้น
บ้วน, บ้วน
ป้อน, ป้อน
มอม, มอม
รับประทาน, กิ๋น
เลีย, เลีย
อม, อม
เกล้าผม, เก้าผม
โกนผม, โก๋นผม
เขียนคิ้ว, เขียนกิ้ว
คาด, เคียน
คาด, ฮั่ด
ดัดผม, ดั๋ดผม
ตัดผม, ตั๋ดผม
ทา, ตา
ทำผม, แป๋งผม
นุ่ง, นุ่ง
แปรงผม, แปงผม
ผัดหน้า, ตาแป้ง
ทาแป้ง, ตาแป้ง
ม้วนผม, ม้วนผม
ย้อมผม, ญ้อมผม
ยีผม, ญีผม
ไว้ผม, ไว้ผม
ส่องกระจก, แญงแว่น
สระผม, ดำหัว
สระผม, ส๋ะผม
สวม, ใส่
สวม, สุ๋บ
สางผม, สางผม
ห่ม, ห่ม
หวีผม, หวีผม
กรน, ขน
กระซิบ, ซุ่บซาบ
กรีดร้อง, เอ๋ก
กรีดร้อง, หุย
กู่, กู่
โกหก, จุ๋
โกหก, ล่าย
ขัน, ขัน
คราง, คาง
คุย, อู้
พูดคุย, อู้
คู, ฮ้อง
คู, ขัน
จู้จี้, ญ่อย
จู้จี้, ปากญ่อย
ขี้บ่น, ญ่อย
ขี้บ่น, ปากญ่อย
ด่า, ด่า
ตอบ, ตอบ
ตะโกน, เอิ้น
ตะคอก, เอ๋ก
ติดอ่าง, ปากกั้ง
ถาม, ถาม
เถียง, เถียง
ทะเลาะ, ผิ๋ด
ทะเลาะ, ผิ๋ดกั๋น
นินทา, เล่าขวัญ
บ่น, จ่ม
บ่น, แซ่ม
บอก, บอก
ประกาศ, ป่าว
ผิวปาก, ผิวปาก
พูด, อู้
พูด, ปาก
พูดจา, อู้
พูดจา, ปาก
เพ้อ, เพ้อ
ร้อง, ฮ้อง
ร้อง, เอก
ร้องเรียก, ฮ้อง
ร้องเรียก, เอิ้น
วาจาสิทธิ์, ปากปิ้ด
เล่า, เล่า
เสก, เสก
หอน, หอน
เห่า, เห่า
หัวเราะเสียงดัง, เหิด
โห่, โห่
กลัว, กั๋ว
กล้า, ก้า
โกรธ, โขด
โกรธ, เกี้ยด
ขยะแขยง, ขี้จ้ะ
คิดถึง, กึ้ดเติงหา
คิดถึง, ง่อมหา
แค้น, แค้น
เจ็บใจ, เจ๋บใจ๋
ชอบ, ซอบ
ชอบ, มั่ก
ชัง, จัง
ซึม, ซึม
ดีใจ, ดีใจ๋
ดูถูก, ดูแควน
ตกใจ, ต๋กใจ๋
ตื้นตัน, กั้ดอ๋ก
ตื้นตัน, กั้ดอ๋กกั้ดใจ๋
ทุกข์ใจ, ตุ้กใจ๋
น้อยใจ, น้อยใจ๋
เบื่อ, ก้าย
เบื่อ, เบื่อ
เป็นห่วง, เป๋ยห่วง
ไม่สบายใจ, บ่สบายใจ๋
ไม่สบายใจ, บ่ม่วนใจ๋
โมโห, เกี้ยด
ร้องไห้, ไห้
ร้อนใจ, ฮ้อนใจ๋
ระอาใจ, เสี้ยงใจ๋
รัก, ฮั่ก
รำคาญ, ลำคาญ
ลำบากใจ, กึ้ดญาก
วิตก, ใจ๋บ่ดี
กังวล, ใจ๋บ่ดี
ว้าเหว่, ง่อม
เศร้า, เส้า
สบายใจ, ม่วนใจ๋
สบายใจ, สบายใจ๋
เสียใจ, เสียใจ๋
เสียดาย, เสียดาย
เสียดาย, กิ๋นแหนง
หนักใจ, กึ้ดญาก
หนักใจ, หนั๋กใจ๋
หน่าย, หน่าย
หลง, หลง
หลง, เมา
หวง, ขาง
หึง, ขาง
หึง, หึง
เหงา, ง่อม
ว้าเหว่, ง่อม
อยาก, อยาก
อยาก, ไค่ได้
อิจฉา, ขอย
อึดอัด, อึ๋ดอั๋ด
อึดอัด, บ่ม่วนใจ๋
กระตุก, กะตุ๋ก
เกร็ง, เก็ง
ขากะเผลก, ขาห้าน
เขม่น, เขม่น
ค่อยยังชั่ว, ญังแควน
คลอดลูก, เกิดลูก
คลอดลูก, ออกลูก
ง่วงนอน, ไค่หลับ
ใจสั่น, ใจ๋สั่น
ใจสั่น, ใจ๋บดี
จุก, กั้ดต๊อง
จุก, จุ๋ก
ชา, หมึน
ชัก, จั้ก
ตาลาย, ต๋าลาย
ถ่ายยา, ถ่ายยา
แน่นท้อง, กั้ดต๊อง
แน่นท้อง, แหน้นต๊อง
แน่นหน้าอก, อหน้นหน้าอ๋ก
โน, โน
ปวด, เจ็บ
ปวดมวน, กิ้ว
ปูด, ปูด
เป็นลม, เป๋นลม
เพ้อ, เพ้อ
ฟื้น, ฟ้น
มีท้อง, มาน
ตั้งครรภ์, มานลูก
รู้สึกตัว, ฮู้คิง
รู้สึกตัว, ฮู้สึ๋กตั๋ว
ระบม, ละบม
ลาม, ลาม
เรอ, เอ๋อะ
ละเมอ, กั้ง
เวียนหัว, เมาหัว
สลบ, สล๋บ
สั่น, สั่น
สะอึก, สะอึ๋ก
สำลัก, สะมั่ก
สร่าง, ส่าง
สร่าง, สว่าง
แสบ, แสบ
เสียด, เสียดาย
หน้ามืด, หน้ามืด
หอบ, หอบ
หายใจ, หายใจ๋
หาว, หาว
หิว, อยาก
เหนื่อย, อิ๋ด
เหนื่อยอ่อน, อิ๋ดอ่อน
หมดสติ, บ่ฮู้คิง
อยู่ไฟ, อยู่เดือน
กวาด, กวาด
เก็บ, เก๋บ
เก็บ, ล้อน
ขยี้, ขยี้
ขยี้, สูสี
ขัด, ขั๋ด
แขวน, แขวน
คลุม, คุม
จัด, จั๋ด
เช็ด, เจ้ด
ซัก, ซั่ก
ตาก, ตาก
ถู, ถู
เท, ถอก
เท, เท
ทิ้ง, ขว้าง
ปัด, ปั๋ด
ผึ่ง, ยัง
ฟอก, ฟอก
ยก, ญ่ก
รีด, ลีด
รื้อ, ลื้อ
รื้อ, คุย
เรียง, เลียง
เรียง, ยาย
ล้าง, ล้าง
ล้าง, ซ่วย
ห้อย, ห้อย
กรอ, กอ
กลึง, เคี่ยน
แก้, แก้
แกะ, แก๋ะ
แกะสลัก, แก๋ะสลั๋ก
ขัดเงา, ขั๋ดเงา
ควั่น, ควั่น
เจาะ, เจ๋าะ
ชุบ, จุ้บ
ตัด, ตั๋ด
ถัก, ถั๋ก
ถาก, ถาก
ทอ, ตอ
เนา, เนา
ปะ, ป๋ะ
ปั่น, ปั่น
ปั้น, ปั้น
ผูก, มั่ด
ฝน, ฝน
ฟั่น, ฝั้น
พับ, พั่น
มัด, มั่ด
ย้อม, ญ้อม
เย็บ, ญิ๋บ
ร้อย, ฮ้อย
เลาะ, เล่าะ
วัด, วั่ด
วาด, วาด
วาด, แต้ม
สลัก, ต้อง
สลัก, สลั๋ก
สอย, สอย
ห่อ, ห่อ
หล่อ, หล่อ
เหลา, เหลา
กด, ก๋ด
กด, เต๋ก
กัด, ข๋บ
กระทืบ, ตี๋นตั้ง
กระทืบ, ญอก
กระแทก, กะแทก
กวัก, กวั๋ก
ขวิด, ขวิ๋ด
เขกหัว, วั่ดหัว
เขกหัว, จ้กหัว
เขกหัว, สั๋บมะกอก
เขี่ย, เขี่ย
ฆ่า, ข้า
เฆี่ยน, เขี้ยน
งับ, งั่บ
จิก, จิ๋ก
จิ้ม, จิ้ม
ฉก, ส๋ก
ฉุด, ซุ๋ด
โฉบ, ซูด
ชก, จ้ก
ชน, จน
ชน, ต๋ำใส่
ชี้, จี๊
ซ้อม, ซ้อม
ดัน, ญู้
ดึง, ดึง
ตบ, ต๋บ
ต่อย, จ้ก
ตี, ตี๋
เตะ, เต๋ะ
ทับ, ทั่บ
ทิ่ม, ถิ้ม
ทึ้ง, ตึ๊ง
ทุบ, บุ๋บ
แทง, แตง
ถอง, ใส่ศอก
ถีบ, ถีบ
บิด, บิ๋ต
บีบ, บีบ
แบก, แบก
โบย, ตี๋
ปลํ้า, ป้ำ
ผลัก, ญู้
โผล่, แมน
พุ่งเข้าใส่, หล่อใส่
ฟัน, ฟัน
ฟาด, ฟาด
ยํ่า, ญํ่า
ยิง, ญิง
รัด, ฮั่ด
ลาก, ลาก
หวด, หวด
หยิก, หยิ๋ก
เหยียบ, ญํ่า
เหวี่ยง, เหวี่ยง
ก้ม, ก้ม
กระโจน, โต๋น
กระชาก, สะต้ก
กระดุกกระดิก, กะดุ๋กกะดิ๋ก
กระดุกกระดิก, ต๊วง
กระเดาะ, เด๋าะ
กระโดด, วิ่ด
กระโดด, กะโดด
กระตุก, กะตุ๋ก
กระเถิบ, ถ๋อดแถ๋ด
กระพริบตา, พั่บต๋า
กวัก, กวั๋ก
ก้าว, ก้าว
กลิ้ง, กิ้ง
แกว่ง, แกว่ง
ไกว, ไกว๋
ขนส่ง, ขนส่ง
